rank,score,tournament_id,name,event_date,series,flagged_classes,top_flags
97,52.0,665,第20回 全国かるた競技益田大会 成績表,2012-08-05,益田大会,1,Sheet1(-):相手未解決87%(231件); round進行異常2箇所; 優勝者導出なし
98,50.2,1468,第5回白瀧杯女流かるた高校選手権大会,2017-08-20,白瀧杯女流高校選手権,1,A級(A):相手未解決6%(4件); ミラー欠落33%(20件); 勝敗矛盾4件
99,49.7,1031,"第7回全国競技かるた秋田大会(A,B,C)",2024-10-06,秋田大会,3,B(B):相手未解決22%(11件) / A(A):相手未解決21%(22件) / C(C):相手未解決7%(4件)
100,49.0,1440,第11回全国競技かるた兵庫大会,2014-04-29,兵庫大会,5,E1.23.45.(E):相手未解決2%(6件); ミラー欠落9%(17件); 優勝者導出なし / C1.C2.(C):相手未解決6%(12件); 優勝者導出なし / 第11AA(-):相手未解決7%(14件)
101,48.7,711,第4回長崎大会,2014-11-09,長崎大会,2,D(D):相手未解決81%(252件); 優勝者導出なし / C(C):相手未解決3%(5件); ミラー欠落4%(5件); 優勝者導出なし
102,48.0,1205,第21回全国競技かるた兵庫大会,2026-04-25,兵庫大会,3,C級(C):相手未解決31%(163件); 優勝者導出なし / A級(A):優勝者導出なし / B級(B):優勝者導出なし
103,47.1,190,"第67回全国かるた競技福井大会(A,B)",2014-06-15,福井大会,3,E2(E):相手未解決12%(6件); ミラー欠落17%(6件) / 対戦記録（E5・6級）(E):相手未解決6%(7件); ミラー欠落7%(7件) / 対戦記録（E中学生級）(-):ミラー欠落6%(2件)
104,46.0,874,第1回初段認定京都小倉かるた会大会,2021-11-28,初段認定京都小倉会大会,1,対戦結果(-):相手未解決100%(108件); 優勝者導出なし; 相手名ゴミ108件
105,46.0,887,第1回競技かるた初段認定京都大学かるた会大会,,初段認定京都大学会大会,1,Sheet1(-):相手未解決100%(108件); 優勝者導出なし; 相手名ゴミ108件
106,46.0,900,第1回競技かるた初段認定鳥取大会,,初段認定鳥取大会,1,Sheet1(-):相手未解決100%(81件); 優勝者導出なし; 相手名ゴミ78件
107,45.5,1240,第17回全国競技かるた兵庫大会,2022-04-29,兵庫大会,4,D(D):相手未解決8%(38件); 優勝者導出なし / B(B):相手未解決7%(20件); 優勝者導出なし / C(C):相手未解決4%(7件); 優勝者導出なし
108,44.0,997,第2回全国競技かるた千葉大会(A),2024-07-13,千葉大会,1,A級(A):ミラー欠落100%(138件); round進行異常1箇所; 優勝者導出なし
109,43.0,209,"第16回全国かるた愛知大会(A,B,C)",2014-12-14,愛知大会,1,シニア級(-):ミラー欠落44%(11件); 同round重複2件; 優勝者導出なし
110,43.0,640,多摩百人一首かるた大会初心者の部(西東京市大会),2011-10-10,,1,詳細(-):相手未解決24%(72件); 無対戦参加者33%(37人); 優勝者導出なし
111,43.0,1263,第3回競技かるた初段認定米国大会,2022-06-26,初段認定米国大会,1,対戦結果(-):ミラー欠落33%(6件); round進行異常1箇所; 無対戦参加者12%(1人)
112,42.0,712,第72回全国競技かるた桑名大会,2014-03-16,桑名大会,3,もみじの部級(-):ミラー欠落67%(8件) / E1(E):優勝者導出なし / E2(E):優勝者導出なし
